N	O	Ar	He	H	C	totall
0.000113323	0.271955698	3.72006E-11	0.703530479	0.0244005	0	7.78852E-15
0.000102966	0.261111547	3.20016E-11	0.713694322	0.025091165	0	7.53854E-15
9.35327E-05	0.250573481	2.75211E-11	0.723543916	0.02578907	0	7.30078E-15
8.49247E-05	0.240342993	2.36639E-11	0.733080804	0.026491278	0	7.07526E-15
7.70863E-05	0.230415119	2.03389E-11	0.742317192	0.027190603	0	6.86103E-15
6.99225E-05	0.220788685	1.7475E-11	0.751244832	0.02789656	0	6.65694E-15
6.33926E-05	0.21145079	1.50065E-11	0.759881375	0.028604443	0	6.46235E-15
5.74646E-05	0.202430651	1.28839E-11	0.768198335	0.029313549	0	6.2768E-15
5.20673E-05	0.193710959	1.10596E-11	0.776212015	0.030024958	0	6.10034E-15
4.71663E-05	0.185270802	9.49031E-12	0.783944827	0.030737205	0	5.93163E-15
4.27102E-05	0.177146108	8.14163E-12	0.791358049	0.031453133	0	5.77064E-15
3.86616E-05	0.169305461	6.98313E-12	0.798487466	0.032168412	0	5.61681E-15
3.49857E-05	0.161758157	5.98874E-12	0.80532031	0.032886547	0	5.46921E-15
3.16536E-05	0.154509517	5.13403E-12	0.811855569	0.03360326	0	5.32818E-15
2.86304E-05	0.147510331	4.40074E-12	0.818141945	0.034319094	0	5.19305E-15
2.58923E-05	0.140774012	3.77225E-12	0.82415882	0.035041275	0	5.06321E-15
2.34092E-05	0.134333577	3.23254E-12	0.82988055	0.035762464	0	4.93853E-15
2.11543E-05	0.128127513	2.76885E-12	0.83536482	0.036486512	0	4.81906E-15
1.91188E-05	0.122198106	2.37254E-12	0.840572661	0.037210115	0	4.70418E-15
1.72779E-05	0.116529747	2.03289E-12	0.845519439	0.037933537	0	4.59373E-15
1.56128E-05	0.111067266	1.74127E-12	0.850258371	0.038658751	0	4.48723E-15
1.41023E-05	0.105826384	1.49109E-12	0.854775741	0.039383772	0	4.38457E-15
1.27371E-05	0.100796424	1.2768E-12	0.859077526	0.040113313	0	4.2857E-15
1.15008E-05	0.096032216	1.09343E-12	0.863111814	0.040844469	0	4.19013E-15
1.03812E-05	0.091492313	9.36267E-13	0.866924406	0.0415729	0	4.09813E-15
9.37304E-06	0.087089014	8.01796E-13	0.870592483	0.04230913	0	4.00908E-15
8.46057E-06	0.082903075	6.86532E-13	0.874046575	0.04304189	0	3.92333E-15
7.63651E-06	0.078929267	5.87737E-13	0.8772872	0.043775897	0	3.84027E-15
6.89265E-06	0.075106285	5.03301E-13	0.880366552	0.04452027	0	3.75959E-15
6.221E-06	0.071478682	4.31053E-13	0.883255316	0.045259781	0	3.68186E-15
